algorithm,mode,n,processes,time_seconds
bubble,serial,1048576,1,1517.855727
bubble,serial,524288,1,380.528176
bubble,serial,262144,1,94.307143
selection,serial,1048576,1,235.130490
selection,serial,524288,1,60.663000
selection,serial,262144,1,14.634935
quick,serial,134217728,1,12.255832
quick,serial,16777216,1,1.356106
quick,serial,1048576,1,0.069462
quick,serial,524288,1,0.032576
quick,serial,262144,1,0.016156
merge,serial,134217728,1,18.652145
merge,serial,16777216,1,2.091175
merge,serial,1048576,1,0.105812
merge,serial,524288,1,0.053425
merge,serial,262144,1,0.026305
bitonic,serial,134217728,1,51.994917
bitonic,serial,16777216,1,5.411257
bitonic,serial,1048576,1,0.259196
bitonic,serial,524288,1,0.123132
bitonic,serial,262144,1,0.060352
bubble,parallel,1048576,4,105.836470
bubble,parallel,1048576,6,49.565675
bubble,parallel,1048576,8,29.065768
bubble,parallel,1048576,12,16.246353
selection,parallel,1048576,4,18.788378
selection,parallel,1048576,6,9.256772
selection,parallel,1048576,8,5.674420
selection,parallel,1048576,12,3.110608
quick,parallel,134217728,4,4.830536
quick,parallel,134217728,6,4.366539
quick,parallel,134217728,8,3.623892
quick,parallel,134217728,12,3.807343
merge,parallel,134217728,4,6.665847
merge,parallel,134217728,6,5.469084
merge,parallel,134217728,8,3.761117
merge,parallel,134217728,12,4.143812
bitonic,parallel,134217728,4,15.953590
bitonic,parallel,134217728,8,9.701621